SAP Linkage No,Sales Order No,Sales Order Item No,Model,P/O  No.,"Customer's
P/O No.","End user
Country
Code",Qty,"Estimated
FOB","YHQ
Sales
Date",Remarks,MS Code,"Acknowledgment
Ex-Uenohara","Qty
Ex-Uenohara",YMG's Note
1006659798000420,2007817322,000280,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000430,2007817322,000290,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000440,2007817322,000300,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000450,2007817322,000310,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000460,2007817322,000320,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000470,2007817322,000330,F9920LU,4509576059,4509576059,IN,60,2021/12/08,2021/12/03,,F9920LU,,,-
1006659798000490,2007817322,000350,F9920LU,4509576059,4509576059,IN,60,2021/12/08,2021/12/03,,F9920LU,,,-
1006659798000510,2007817322,000370,F9920LU,4509576059,4509576059,IN,60,2021/12/08,2021/12/03,,F9920LU,,,-
1006659798000520,2007817322,000380,F9920LU,4509576059,4509576059,IN,60,2021/12/08,2021/12/03,,F9920LU,,,-
1006659798000530,2007817322,000390,F9920LU,4509576059,4509576059,IN,60,2021/12/08,2021/12/03,,F9920LU,,,-
1006659798000540,2007817322,000400,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006659798000550,2007817322,000410,F9920LU,4509576059,4509576059,IN,60,2021/12/10,2021/12/08,,F9920LU,,,-
1006660991000030,2007818521,000030,F9920BQ,4509577388,4509577388,IN,180,2021/12/20,2021/12/08,,F9920BQ,,,-
1006660991000040,2007818521,000040,F9920TP,4509577388,4509577388,IN,180,2021/12/14,2021/12/22,,F9920TP,,,-
1006660991000060,2007818521,000060,F9920TS,4509577388,4509577388,IN,180,2021/12/14,2021/12/10,,F9920TS,,,-
1006660991000070,2007818521,000070,F9920BN,4509577388,4509577388,IN,180,2021/12/20,2021/12/08,,F9920BN,,,-
1006662951000040,2007820208,000040,F9299ZZ,4509579618,4509579618,IN,5,2022/02/10,,,F9299ZZ,,,-
1006662951000050,2007820208,000050,C2051FD-21,4509579618,4509579618,IN,1,2021/12/16,2021/12/15,,C2051FD-21,2021/12/18,,4509643505-00010
1006662951000070,2007820208,000070,F9920BN,4509579618,4509579618,IN,180,2021/12/09,2021/12/08,,F9920BN,,,-
1006664816000060,2007821998,000060,F9920BQ,4509582117,4509582117,IN,180,2021/12/09,2021/12/08,,F9920BQ,,,-
1006664816000070,2007821998,000070,F9920BN,4509582117,4509582117,IN,180,2021/12/09,2021/12/08,,F9920BN,,,-
1006666252000010,2007823613,000010,F9920TP,4509584036,4509584036,IN,180,2021/12/13,2021/12/24,,F9920TP,,,-
1006670174000040,2007827873,000040,F9920VS,4509588666,4509588666,IN,90,2022/01/21,,,F9920VS,,,-
1006670176000010,2007827871,000010,F9900TB,4509588667,4509588667,IN,2016,2021/12/29,2021/12/23,,F9900TB,,,-
1006673179000030,2007830954,000030,F9340SB,4509592013,4509592013,IN,700,2021/12/14,2021/12/17,,F9340SB,,,-
1006673179000040,2007830954,000040,F9920LV,4509592013,4509592013,IN,240,2021/12/07,2021/12/03,,F9920LV,,,-
1006673179000050,2007830954,000050,F9920BN,4509592013,4509592013,IN,180,2021/12/14,2021/12/15,,F9920BN,,,-
1006673179000070,2007830954,000070,F9920TP,4509592013,4509592013,IN,180,2021/12/13,2021/12/24,,F9920TP,,,-
1006673179000080,2007830954,000080,F9920BQ,4509592013,4509592013,IN,180,2021/12/14,2021/12/15,,F9920BQ,,,-
1006676808000130,2007834720,000130,F9920TS,4509596366,4509596366,IN,180,2021/12/08,2021/12/03,,F9920TS,,,-
1006676808000140,2007834720,000140,F9920BN,4509596366,4509596366,IN,180,2021/12/15,2021/12/15,,F9920BN,,,-
1006676808000150,2007834720,000150,F9920BQ,4509596366,4509596366,IN,180,2021/12/15,2021/12/15,,F9920BQ,,,-
1006676808000160,2007834720,000160,F9920BQ,4509596366,4509596366,IN,180,2021/12/15,2021/12/15,,F9920BQ,,,-
1006676808000170,2007834720,000170,F9920TP,4509596366,4509596366,IN,180,2021/12/14,2021/12/24,,F9920TP,,,-
1006676808000180,2007834720,000180,F9920TP,4509596366,4509596366,IN,180,2021/12/14,2021/12/24,,F9920TP,,,-
1006676808000270,2007834720,000270,F9900RS,4509596366,4509596366,IN,1000,2021/12/15,2021/12/03,,F9900RS,,,-
1006679642000020,2007837465,000020,F9903BD,4509599285,4509599285,IN,600,2021/12/20,2021/12/10,,F9903BD,,,-
1006679642000040,2007837465,000040,F9903CM,4509599285,4509599285,IN,600,2021/12/15,2021/12/10,,F9903CM,,,-
1006679642000060,2007837465,000060,F9903CZ,4509599285,4509599285,IN,600,2021/12/15,2021/12/10,,F9903CZ,,,-
1006700028000040,2007856716,000040,F9920TP,4509623364,4509623364,IN,180,2021/12/09,2021/12/28,,F9920TP,,,-
1006700028000050,2007856716,000050,F9920LV,4509623364,4509623364,IN,240,2021/12/16,2021/12/15,,F9920LV,,,-
1006700028000060,2007856716,000060,F9920TS,4509623364,4509623364,IN,180,2021/12/16,2021/12/15,,F9920TS,,,-
1006700028000070,2007856716,000070,F9900GD,4509623364,4509623364,IN,100,2021/12/16,2021/12/10,,F9900GD,,,-
1006700028000080,2007856716,000080,F9341JQ,4509623364,4509623364,IN,1000,2021/12/10,2021/12/08,,F9341JQ,,,-
1006700028000100,2007856716,000100,F9900RE,4509623364,4509623364,IN,1000,2021/12/07,2021/12/03,,F9900RE,,,-
1006700028000110,2007856716,000110,D0114PB,4509623364,4509623364,IN,600,2021/12/09,2021/12/10,,D0114PB,,,-
1006700029000010,2007856715,000010,D0114PB,4509623365,4509623365,IN,600,2021/12/09,2021/12/08,,D0114PB,,,-
1006700029000030,2007856715,000030,F9341JZ,4509623365,4509623365,IN,1000,2022/02/10,,,F9341JZ,,,-
1006700029000040,2007856715,000040,F9900GE,4509623365,4509623365,IN,1000,2021/12/16,2021/12/10,,F9900GE,,,-
1006700029000050,2007856715,000050,F9900GE,4509623365,4509623365,IN,1000,2021/12/16,2021/12/10,,F9900GE,,,-
1006700029000080,2007856715,000080,F9920LV,4509623365,4509623365,IN,240,2021/12/16,2021/12/15,,F9920LV,,,-
1006703767000020,2007860497,000020,F9921AH,4509627684,4509627684,IN,72,2021/12/24,2021/12/22,,F9921AH,,,-
1006703767000030,2007860497,000030,F9921TG,4509627684,4509627684,IN,90,2021/12/17,2021/12/15,,F9921TG,,,-
1006703767000040,2007860497,000040,F9920LV,4509627684,4509627684,IN,240,2021/12/17,2021/12/22,,F9920LV,,,-
1006703767000050,2007860497,000050,F9202SJ,4509627684,4509627684,IN,1,2022/01/28,,,F9202SJ,,,-
1006703770000010,2007860534,000010,F9300AF,4509627654,4509627654,IN,1000,2022/01/05,2021/12/28,,F9300AF,2022/01/01,,4509692910-00010
1006703770000020,2007860534,000020,F9300AF,4509627654,4509627654,IN,1000,2022/01/05,2021/12/28,,F9300AF,2022/01/01,,4509692911-00010
1006703770000030,2007860534,000030,F9300AF,4509627654,4509627654,IN,1000,2022/01/05,2021/12/28,,F9300AF,2022/01/01,,4509692912-00010
1006703770000040,2007860534,000040,F9300AF,4509627654,4509627654,IN,1000,2022/01/05,2021/12/28,,F9300AF,2022/01/01,,4509692913-00010
1006703770000050,2007860534,000050,F9300AF,4509627654,4509627654,IN,1000,2022/01/05,2021/12/28,,F9300AF,2022/01/01,,4509692914-00010
1006707660000040,2007863655,000040,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000050,2007863655,000050,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000060,2007863655,000060,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000070,2007863655,000070,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000080,2007863655,000080,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000090,2007863655,000090,F9900AU,4509631952,4509631952,IN,300,2021/12/10,2021/12/03,,F9900AU,,,-
1006707660000100,2007863655,000100,F9900AC,4509631952,4509631952,IN,1200,2021/12/09,2021/12/03,,F9900AC,,,-
1006707660000110,2007863655,000110,F9900AC,4509631952,4509631952,IN,1200,2021/12/10,2021/12/08,,F9900AC,,,-
1006707660000120,2007863655,000120,F9900AC,4509631952,4509631952,IN,1200,2021/12/10,2021/12/08,,F9900AC,,,-
1006707660000130,2007863655,000130,G9330DB,4509631952,4509631952,IN,10000,2021/12/16,2021/12/15,,G9330DB,2021/12/17,,4509635840-00010
1006707660000150,2007863655,000150,F9341JS,4509631952,4509631952,IN,1000,2021/12/15,2021/12/10,,F9341JS,,,-
1006707660000160,2007863655,000160,F9341JS,4509631952,4509631952,IN,1000,2021/12/15,2021/12/10,,F9341JS,,,-
1006707660000190,2007863655,000190,D0114RZ,4509631952,4509631952,IN,600,2021/12/06,2021/12/08,,D0114RZ,,,-
1006707660000200,2007863655,000200,F9900GE,4509631952,4509631952,IN,1000,2021/12/20,2021/12/15,,F9900GE,,,-
1006707660000210,2007863655,000210,F9900GE,4509631952,4509631952,IN,1000,2021/12/20,2021/12/15,,F9900GE,,,-
1006707660000220,2007863655,000220,F9920LV,4509631952,4509631952,IN,240,2021/12/20,2021/12/22,,F9920LV,,,-
1006707660000230,2007863655,000230,F9920LV,4509631952,4509631952,IN,240,2021/12/20,2021/12/22,,F9920LV,,,-
1006707660000240,2007863655,000240,F9920LV,4509631952,4509631952,IN,240,2021/12/20,2021/12/24,,F9920LV,,,-
1006707660000250,2007863655,000250,F9341JQ,4509631952,4509631952,IN,1000,2021/12/14,2021/12/10,,F9341JQ,,,-
1006707660000260,2007863655,000260,F9341JQ,4509631952,4509631952,IN,1000,2021/12/14,2021/12/10,,F9341JQ,,,-
1006707660000270,2007863655,000270,F9300AF,4509631952,4509631952,IN,1000,2022/01/06,2021/12/28,,F9300AF,2022/01/01,,4509692916-00010
1006707660000280,2007863655,000280,F9300AF,4509631952,4509631952,IN,1000,2022/01/11,,,F9300AF,2022/01/01,,4509692917-00010
1006707660000310,2007863655,000310,F9341JP,4509631952,4509631952,IN,5000,2022/01/13,,,F9341JP,,,-
1006707660000340,2007863655,000340,D0117XL-A,4509631952,4509631952,IN,600,2022/01/05,2021/12/28,,D0117XL-A,2021/12/31,,4509717839-00010
1006707660000350,2007863655,000350,D0114PB,4509631952,4509631952,IN,600,2021/12/13,2021/12/17,,D0114PB,,,-
1006707660000370,2007863655,000370,F9920BQ,4509631952,4509631952,IN,180,2021/12/27,2021/12/22,,F9920BQ,,,-
1006707660000390,2007863655,000390,F9920TP,4509631952,4509631952,IN,180,2021/12/13,2021/12/28,,F9920TP,,,-
1006707660000400,2007863655,000400,F9340WX,4509631952,4509631952,IN,10,2022/01/07,2021/12/22,,F9340WX,,,-
1006707660000410,2007863655,000410,F9145YN,4509631952,4509631952,IN,5,2022/01/14,,,F9145YN,2022/01/08,,4509753158-00010
1006711314000010,2007867547,000010,F9940WG,4509636785,4509636785,IN,100,2021/12/28,2021/12/22,,F9940WG,2021/12/23,,4509639188-00010
1006711314000020,2007867547,000020,F9920VS,4509636785,4509636785,IN,90,2021/12/21,2021/12/17,,F9920VS,,,-
1006711314000030,2007867547,000030,F9273CZ,4509636785,4509636785,IN,1700,2021/12/28,2021/12/17,,F9273CZ,,,-
1006711314000050,2007867547,000050,F9340SB,4509636785,4509636785,IN,700,2021/12/28,2021/12/22,,F9340SB,,,-
1006711314000060,2007867547,000060,F9900AA,4509636785,4509636785,IN,1000,2021/12/15,2021/12/10,,F9900AA,2022/01/24,,4509639189-00010
1006711314000070,2007867547,000070,F9910LS,4509636785,4509636785,IN,1120,2021/12/17,2021/12/15,,F9910LS,,,-
1006711314000080,2007867547,000080,F9910LS,4509636785,4509636785,IN,1120,2022/02/01,,,F9910LS,,,-
1006711314000090,2007867547,000090,F9342NJ,4509636785,4509636785,IN,600,2021/12/21,2021/12/10,,F9342NJ,,,-
1006711314000100,2007867547,000100,F9920LV,4509636785,4509636785,IN,240,2021/12/21,2021/12/24,,F9920LV,,,-
1006711314000110,2007867547,000110,F9275ZZ,4509636785,4509636785,IN,50,2021/12/21,2021/12/10,,F9275ZZ,,,-
1006716127000010,2007874879,000010,F9300TE,4509642515,4509642515,IN,300,2021/12/21,2021/12/17,,F9300TE,,,-
1006716127000030,2007874879,000030,Y9308JY,4509642515,4509642515,IN,10000,2021/12/16,2021/12/15,,Y9308JY,2021/12/17,,4509651386-00010
1006716127000040,2007874879,000040,D0114PB,4509642515,4509642515,IN,600,2021/12/16,2021/12/24,,D0114PB,,,-
1006716127000050,2007874879,000050,D0114RZ,4509642515,4509642515,IN,600,2021/12/09,2021/12/08,,D0114RZ,,,-
1006716127000060,2007874879,000060,F9900GH,4509642515,4509642515,IN,3000,2021/12/16,2021/12/10,,F9900GH,2021/12/12,,4509651387-00010
1006716127000070,2007874879,000070,G9303NC,4509642515,4509642515,IN,1000,2021/12/21,2021/12/17,,G9303NC,,,-
1006716127000090,2007874879,000090,F9900AC,4509642515,4509642515,IN,1200,2021/12/14,2021/12/08,,F9900AC,,,-
1006716127000100,2007874879,000100,F9341JD,4509642515,4509642515,IN,2000,2021/12/21,2021/12/17,,F9341JD,,,-
1006716127000110,2007874879,000110,F9900AU,4509642515,4509642515,IN,300,2021/12/14,2021/12/08,,F9900AU,,,-
1006716127000120,2007874879,000120,F9900AU,4509642515,4509642515,IN,300,2021/12/14,2021/12/08,,F9900AU,,,-
1006716127000130,2007874879,000130,F9920BQ,4509642515,4509642515,IN,180,2022/01/05,,,F9920BQ,,,-
1006716127000140,2007874879,000140,F9920BQ,4509642515,4509642515,IN,180,2022/01/05,,,F9920BQ,,,-
1006716127000150,2007874879,000150,F9920BQ,4509642515,4509642515,IN,180,2022/01/05,2021/12/24,,F9920BQ,,,-
1006716127000160,2007874879,000160,F9340XX,4509642515,4509642515,IN,336,2021/12/10,2021/12/08,,F9340XX,,,-
1006716127000170,2007874879,000170,F9913TS,4509642515,4509642515,IN,300,2021/12/14,2021/12/08,,F9913TS,,,-
1006716127000180,2007874879,000180,F9913TS,4509642515,4509642515,IN,300,2021/12/14,2021/12/08,,F9913TS,,,-
1006716127000190,2007874879,000190,D0117XL-A,4509642515,4509642515,IN,600,2022/01/05,,,D0117XL-A,2021/12/31,,4509717951-00010
1006716127000200,2007874879,000200,F9920LV,4509642515,4509642515,IN,240,2021/12/10,2021/12/08,,F9920LV,,,-
1006716127000210,2007874879,000210,F9920LV,4509642515,4509642515,IN,240,2021/12/10,2021/12/08,,F9920LV,,,-
1006716127000220,2007874879,000220,F9900SN,4509642515,4509642515,IN,800,2022/01/28,,,F9900SN,,,4509651388-00010
1006716127000230,2007874879,000230,F9921TF,4509642515,4509642515,IN,90,2021/12/23,2021/12/22,,F9921TF,,,-
1006716127000240,2007874879,000240,F9921TF,4509642515,4509642515,IN,90,2021/12/23,2021/12/22,,F9921TF,,,-
1006716127000250,2007874879,000250,F9921TF,4509642515,4509642515,IN,90,2021/12/23,2021/12/22,,F9921TF,,,-
1006716127000260,2007874879,000260,F9921AH,4509642515,4509642515,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006716127000270,2007874879,000270,F9921AH,4509642515,4509642515,IN,72,2022/01/05,,,F9921AH,,,-
1006716127000280,2007874879,000280,F9921AH,4509642515,4509642515,IN,72,2022/01/05,,,F9921AH,,,-
1006716127000310,2007874879,000310,F9920TP,4509642515,4509642515,IN,180,2021/12/16,2021/12/15,,F9920TP,,,-
1006716127000330,2007874879,000330,F9913SE,4509642515,4509642515,IN,60,2021/12/23,2021/12/15,,F9913SE,,,-
1006716127000340,2007874879,000340,F9920LU,4509642515,4509642515,IN,60,2022/01/06,,,F9920LU,,,-
1006716127000350,2007874879,000350,F9920LU,4509642515,4509642515,IN,60,2022/01/06,,,F9920LU,,,-
1006716127000360,2007874879,000360,F9920LU,4509642515,4509642515,IN,60,2022/01/06,,,F9920LU,,,-
1006716128000010,2007871834,000010,F9300TE,4509642496,4509642496,IN,1000,2021/12/22,2021/12/17,,F9300TE,,,-
1006716128000020,2007871834,000020,F9900TE,4509642496,4509642496,IN,105,2021/12/08,2021/12/29,,F9900TE,,,-
1006716128000030,2007871834,000030,F9340XX,4509642496,4509642496,IN,1232,2021/12/14,2021/12/29,,F9340XX,,,-
1006716128000050,2007871834,000050,F9273CZ,4509642496,4509642496,IN,5000,2021/12/29,2021/12/24,,F9273CZ,2021/12/24,,4509643534-00010
1006716128000060,2007871834,000060,F9900SN,4509642496,4509642496,IN,800,2021/12/08,2021/12/29,,F9900SN,,,-
1006716128000070,2007871834,000070,D0117XL-A,4509642496,4509642496,IN,1800,2022/01/12,,,D0117XL-A,2022/01/06,,4509717950-00010
1006716128000080,2007871834,000080,F9900TB,4509642496,4509642496,IN,2016,2022/01/05,,,F9900TB,,,-
1006716128000090,2007871834,000090,F9900SF,4509642496,4509642496,IN,840,2022/01/25,,,F9900SF,,,-
1006719415000020,2007874909,000020,Y9501WL,4509646095,4509646095,IN,20000,2021/12/09,2021/12/03,,Y9501WL,,,-
1006719415000030,2007874909,000030,F9342MK,4509646095,4509646095,IN,10000,2022/01/28,,,F9342MK,,,-
1006719415000040,2007874909,000040,G9303NC,4509646095,4509646095,IN,1000,2021/12/17,2021/12/15,,G9303NC,,,-
1006719415000050,2007874909,000050,G9303NC,4509646095,4509646095,IN,1000,2021/12/17,2021/12/15,,G9303NC,,,-
1006719415000060,2007874909,000060,F9340SB,4509646095,4509646095,IN,700,2022/01/28,,,F9340SB,,,-
1006719415000070,2007874909,000070,F9900EA,4509646095,4509646095,IN,6000,2022/01/11,,,F9900EA,2022/01/03,,4509651389-00010
1006719415000080,2007874909,000080,F9342YB,4509646095,4509646095,IN,3600,2022/02/03,,,F9342YB,,,4509651420-00010
1006719415000090,2007874909,000090,F9920LU,4509646095,4509646095,IN,60,2022/01/05,2021/12/28,,F9920LU,,,-
1006719415000100,2007874909,000100,F9920LU,4509646095,4509646095,IN,60,2022/01/05,2021/12/28,,F9920LU,,,-
1006719415000110,2007874909,000110,F9920LU,4509646095,4509646095,IN,60,2022/01/05,2021/12/28,,F9920LU,,,-
1006719415000120,2007874909,000120,F9920LU,4509646095,4509646095,IN,60,2022/01/05,,,F9920LU,,,-
1006719415000130,2007874909,000130,F9920LU,4509646095,4509646095,IN,60,2022/01/05,,,F9920LU,,,-
1006719415000140,2007874909,000140,F9920LU,4509646095,4509646095,IN,60,2022/01/05,,,F9920LU,,,-
1006719415000150,2007874909,000150,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000160,2007874909,000160,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000170,2007874909,000170,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000180,2007874909,000180,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/28,,F9921AH,,,-
1006719415000190,2007874909,000190,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000200,2007874909,000200,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000210,2007874909,000210,F9921AH,4509646095,4509646095,IN,72,2022/01/05,2021/12/24,,F9921AH,,,-
1006719415000220,2007874909,000220,F9921TG,4509646095,4509646095,IN,90,2021/12/23,2021/12/22,,F9921TG,,,-
1006719415000230,2007874909,000230,F9921TG,4509646095,4509646095,IN,90,2021/12/23,2021/12/22,,F9921TG,,,-
1006719415000240,2007874909,000240,F9900GD,4509646095,4509646095,IN,100,2021/12/23,2021/12/17,,F9900GD,,,-
1006719415000250,2007874909,000250,F9900GD,4509646095,4509646095,IN,100,2021/12/23,2021/12/17,,F9900GD,,,-
1006719415000260,2007874909,000260,F9903CZ,4509646095,4509646095,IN,50,2021/12/16,2021/12/10,,F9903CZ,,,-
1006719415000270,2007874909,000270,F9903BD,4509646095,4509646095,IN,50,2021/12/16,2021/12/10,,F9903BD,,,-
1006719415000280,2007874909,000280,F9903CM,4509646095,4509646095,IN,50,2021/12/16,2021/12/10,,F9903CM,,,-
1006721594000010,2007877023,000010,F9913QG,4509648367,4509648367,IN,656,2021/12/13,2021/12/29,,F9913QG,,,-
1006721594000020,2007877023,000020,F9913QG,4509648367,4509648367,IN,656,2021/12/13,2021/12/29,,F9913QG,,,-
1006721594000030,2007877023,000030,F9913QH,4509648367,4509648367,IN,656,2021/12/13,2021/12/29,,F9913QH,,,-
1006721594000040,2007877023,000040,F9913QH,4509648367,4509648367,IN,656,2021/12/13,2021/12/29,,F9913QH,,,-
1006721594000090,2007877023,000090,F9913TS,4509648367,4509648367,IN,180,2021/12/17,2021/12/15,,F9913TS,,,-
1006721594000100,2007877023,000100,F9913TS,4509648367,4509648367,IN,180,2021/12/17,2021/12/15,,F9913TS,,,-
1006721594000110,2007877023,000110,F9913TS,4509648367,4509648367,IN,180,2021/12/17,2021/12/15,,F9913TS,,,-
1006721594000120,2007877023,000120,F9913TS,4509648367,4509648367,IN,180,2021/12/17,2021/12/15,,F9913TS,,,-
1006721594000130,2007877023,000130,F9913TS,4509648367,4509648367,IN,180,2021/12/27,2021/12/17,,F9913TS,,,-
1006721594000140,2007877023,000140,F9913TS,4509648367,4509648367,IN,180,2021/12/27,2021/12/17,,F9913TS,,,-
1006721594000150,2007877023,000150,F9913TS,4509648367,4509648367,IN,180,2021/12/27,2021/12/17,,F9913TS,,,-
1006721594000160,2007877023,000160,F9913TS,4509648367,4509648367,IN,180,2021/12/23,2021/12/22,,F9913TS,,,-
1006721594000170,2007877023,000170,F9913TS,4509648367,4509648367,IN,180,2021/12/23,2021/12/22,,F9913TS,,,-
1006721594000180,2007877023,000180,F9913TS,4509648367,4509648367,IN,180,2022/01/24,,,F9913TS,,,-
1006721594000190,2007877023,000190,F9913TS,4509648367,4509648367,IN,180,2022/01/07,,,F9913TS,,,-
1006721594000200,2007877023,000200,F9913TS,4509648367,4509648367,IN,180,2022/01/07,,,F9913TS,,,-
1006721594000210,2007877023,000210,F9913TS,4509648367,4509648367,IN,180,2022/01/07,,,F9913TS,,,-
1006721594000220,2007877023,000220,F9913TS,4509648367,4509648367,IN,180,2022/01/07,,,F9913TS,,,-
1006721594000230,2007877023,000230,F9913TA,4509648367,4509648367,IN,180,2021/12/23,2021/12/22,,F9913TA,,,-
1006721594000240,2007877023,000240,F9913TA,4509648367,4509648367,IN,180,2021/12/23,2021/12/22,,F9913TA,,,-
1006721594000250,2007877023,000250,F9913TA,4509648367,4509648367,IN,180,2021/12/23,2021/12/22,,F9913TA,,,-
1006721594000260,2007877023,000260,F9913TA,4509648367,4509648367,IN,180,2022/01/07,,,F9913TA,,,-
1006721594000270,2007877023,000270,F9913TA,4509648367,4509648367,IN,180,2022/01/07,,,F9913TA,,,-
1006721594000280,2007877023,000280,F9913TA,4509648367,4509648367,IN,180,2022/01/07,,,F9913TA,,,-
1006721594000290,2007877023,000290,F9913TA,4509648367,4509648367,IN,180,2022/01/07,,,F9913TA,,,-
1006721594000300,2007877023,000300,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000310,2007877023,000310,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000320,2007877023,000320,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000330,2007877023,000330,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000340,2007877023,000340,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000350,2007877023,000350,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
1006721594000360,2007877023,000360,F9913TA,4509648367,4509648367,IN,180,2022/01/11,,,F9913TA,,,-
